SiteName,PrimaryUse,Borough,AreaHa,Access,,,,,,,,,
Curnock Estate Open Space,Formal garden,Camden,0.6314,De facto,,,,,,,,,
Rochester Terrace Gardens,Formal garden,Camden,0.4426,Free,,,,,,,,,
Falkland Lawn,Amenity green space,Camden,0.0301,Free,,,,,,,,,
Tybalds Play Area,Play space,Camden,0.0618,Free,,,,,,,,,
Torrington Square,Civic/market square,Camden,0.5301,Free,,,,,,,,,
Hope Gardens,Park,Camden,0.0428,Free,,,,,,,,,
Huntley Street Pocket Park,Park,Camden,0.0043,Free,,,,,,,,,
Poets Park,Park,Camden,0.0218,Free,,,,,,,,,
Ossulston Estate Open Space,Youth area,Camden,0.0844,Free,,,,,,,,,
Pancras Square,Civic/market square,Camden,0.4434,Free,,,,,,,,,
Wayne Kirkham Way,Walking/cycling route,Camden,0.1005,Free,,,,,,,,,
Stanhope Street open space,Amenity green space,Camden,0.048,Free,,,,,,,,,
Munster Square,Park,Camden,0.2252,Free,,,,,,,,,
Bramber Green,Park,Camden,0.362,Free,,,,,,,,,
Harrington House garden,Amenity green space,Camden,0.0619,De facto,,,,,,,,,
Argyle Square Gardens,Formal garden,Camden,0.325,Free,,,,,,,,,
Crabtree Fields,Formal garden,Camden,0.1253,Free,,,,,,,,,
Princes Circus (south),Civic/market square,Camden,0.0271,Free,,,,,,,,,
The Warren,Play space,Camden,0.0496,Free,,,,,,,,,
Queen Square Garden,Formal garden,Camden,0.4212,Free,,,,,,,,,
Maygrove Peace Park,Park,Camden,0.8182,Free,,,,,,,,,
Camden Square gardens,Formal garden,Camden,0.5998,Free,,,,,,,,,
Red Lion Square Gardens,Formal garden,Camden,0.2545,Free,,,,,,,,,
Bloomsbury Square Gardens,Formal garden,Camden,0.7518,Free,,,,,,,,,
Bedford Avenue Pocket Park,Park,Camden,0.028,Free,,,,,,,,,
New Calthorpe Estate Open Space,Play space,Camden,0.0875,Free,,,,,,,,,
Wicklow Street Open Space,Play space,Camden,0.044,Free,,,,,,,,,
Cartwright Gardens,Formal garden,Camden,0.576,Free,,,,,,,,,
Regent Square,Formal garden,Camden,0.2652,Free,,,,,,,,,
Gasholder Park gardens,Park,Camden,0.4628,Free,,,,,,,,,
Lewis Cubitt Square,Civic/market square,Camden,0.3096,Free,,,,,,,,,
Lewis Cubbitt Park,Park,Camden,0.4693,Free,,,,,,,,,
Purchese Street Open Space,Park,Camden,0.5963,Free,,,,,,,,,
Augustus and Redhill Allotments Path,Walking/cycling route,Camden,0.1643,Free,,,,,,,,,
Richard Cobden junction,Civic/market square,Camden,0.0827,Free,,,,,,,,,
Oakley Square Gardens,Formal garden,Camden,0.68,Free,,,,,,,,,
Tolmers Square,Park,Camden,0.1025,Free,,,,,,,,,
Cartmel Estate,Play space,Camden,0.09,Free,,,,,,,,,
Swiss Cottage Open Space,Other recreational,Camden,0.9125,Free,,,,,,,,,
Chalcot Square,Formal garden,Camden,0.1719,Free,,,,,,,,,
Kilburn Grange Park,Park,Camden,3.3818,Free,,,,,,,,,
Abbey Road Open Space,Park,Camden,0.5253,Free,,,,,,,,,
Elm Village Open Space,Park,Camden,0.2964,Free,,,,,,,,,
Leighton Crescent Playground,Formal garden,Camden,0.1159,Free,,,,,,,,,
Elm Village Estate Playground,Play space,Camden,0.0413,Free,,,,,,,,,
Pond Square Gardens,Civic/market square,Camden,0.3174,Free,,,,,,,,,
Inkerman Garden,Community garden,Camden,0.0201,Free,,,,,,,,,
Lismore Circus,Formal garden,Camden,0.9822,Free,,,,,,,,,
Burlington Court Triangle,Formal garden,Camden,0.0077,Free,,,,,,,,,
Russell Nursery open space (central),Public woodland,Camden,0.2506,Free,,,,,,,,,
Hampstead Heath - Parliament Hill Fields,Other recreational,Camden,272.8551,Free,,,,,,,,,
Hampstead Heath - Kenwood Estate,Park,Camden,45.2706,Free,,,,,,,,,
Heath Street Open Space,Other hard surfaced areas,Camden,0.1232,Free,,,,,,,,,
Spedan Close Play Area,Play space,Camden,0.1173,Free,,,,,,,,,
Hillfield Road Open Space,Amenity green space,Camden,0.0087,Free,,,,,,,,,
Hampstead Cemetery,Cemetery/churchyard,Camden,9.2737,Free,,,,,,,,,
Antrim Grove Public Gardens,Formal garden,Camden,0.0832,Free,,,,,,,,,
Caerleon Terrace,Amenity green space,Greenwich,0.237,Free,,,,,,,,,
St. Nicholas Gardens,Park,Greenwich,1.3779,Free,,,,,,,,,
Woolwich Common,Nature reserve,Greenwich,41.9976,Free,,,,,,,,,
Heathfield Terrace,Amenity green space,Greenwich,0.6545,Free,,,,,,,,,
Shrewsbury Park,Park,Greenwich,14.7617,Free,,,,,,,,,
Twin Tumps and Gallions Lake,Nature reserve,Greenwich,12.4399,De facto,,,,,,,,,
Avery Hill Fields,Playing fields,Greenwich,12.0809,Free,,,,,,,,,
Prince Imperial Road Play Area,Play space,Greenwich,0.0227,Free,,,,,,,,,
Savendroog Castle Meadow,Nature reserve,Greenwich,0.8336,Free,,,,,,,,,
John Little Playing Field,Playing fields,Greenwich,3.2916,Free,,,,,,,,,
Triangle opposite Roman Square,Amenity green space,Greenwich,0.3355,Free,,,,,,,,,
Shepherdleas Wood,Public woodland,Greenwich,20.5285,De facto,,,,,,,,,
Hornfair Park,Playing fields,Greenwich,9.9669,Free,,,,,,,,,
The Course,Recreation ground,Greenwich,3.8279,Free,,,,,,,,,
Thames Path in Greenwich,Walking/cycling route,Greenwich,13.3795,Free,,,,,,,,,
Greening Street Green,Playing fields,Greenwich,0.5198,Free,,,,,,,,,
Bostall Gardens,Park,Greenwich,1.0122,Free,,,,,,,,,
William Barefoot Garden,Formal garden,Greenwich,0.3103,Free,,,,,,,,,
Birchmere Park,Park,Greenwich,17.6208,Free,,,,,,,,,
Playing Field South-East of Fairy Hill,Playing fields,Greenwich,2.4118,Free,,,,,,,,,
Sibthorpe Road Green,Amenity green space,Greenwich,0.3913,Free,,,,,,,,,
Southwood Road Leisue Complex (Playing Field),Playing fields,Greenwich,2.4575,Free,,,,,,,,,
Bately Park,Park,Greenwich,0.4069,Free,,,,,,,,,
Rockcliffe gardens,Park,Greenwich,2.0682,Free,,,,,,,,,
Bostall Heath,Common,Greenwich,21.1063,Free,,,,,,,,,
Plumstead Common,Common,Greenwich,25.0576,Free,,,,,,,,,
Manorway green west,Amenity green space,Greenwich,0.6116,Free,,,,,,,,,
Hawksmoor Park,Park,Greenwich,2.9831,Free,,,,,,,,,
Plumstead Gardens,Park,Greenwich,2.4804,Free,,,,,,,,,
Abbey Wood Park playing field,Playing fields,Greenwich,2.2507,Free,,,,,,,,,
Academy Place Resevoirs Playing Fields,Playing fields,Greenwich,1.306,Free,,,,,,,,,
Oxleas Wood Grassland,Nature reserve,Greenwich,3.145,Free,,,,,,,,,
Dot Hill Road Allotments,Allotments,Greenwich,0.7563,Free,,,,,,,,,
Alderwood Rd,Amenity green space,Greenwich,1.2975,Free,,,,,,,,,
Maryon Park,Park,Greenwich,12.4556,Free,,,,,,,,,
Kingsholm Gardens,Amenity green space,Greenwich,0.3582,Free,,,,,,,,,
Thames Path Reedbed etc,Nature reserve,Greenwich,0.4664,Free,,,,,,,,,
Casterbridge Road,Amenity green space,Greenwich,1.5388,Free,,,,,,,,,
Plumstead Common W of Old Mill Rd,Common,Greenwich,1.0794,Free,,,,,,,,,
Pettman Crescent,Park,Greenwich,3.1123,Free,,,,,,,,,
Saverndroog Castle glade and rose garden,Formal garden,Greenwich,0.7225,Free,,,,,,,,,
Walpole Place,Amenity green space,Greenwich,0.6362,Free,,,,,,,,,
Greenhaven Drive bank,Amenity green space,Greenwich,0.3611,Free,,,,,,,,,
Castle Wood,Nature reserve,Greenwich,3.0551,Free,,,,,,,,,
Woolwich Common Pavement Island,Amenity green space,Greenwich,0.2247,Free,,,,,,,,,
Spekehill and Buckler Gardens,Amenity green space,Greenwich,0.7765,Free,,,,,,,,,
Dallin Road/Plum Lane Amenity Space,Amenity green space,Greenwich,0.2369,Free,,,,,,,,,
Eaglesfield Park,Recreation ground,Greenwich,1.3916,Free,,,,,,,,,
Wilton Park Court,Amenity green space,Greenwich,0.2161,Free,,,,,,,,,
Eltham Church,Cemetery/churchyard,Greenwich,1.5546,Free,,,,,,,,,
New Eltham Allotments Grassland,Amenity green space,Greenwich,2.1728,Free,,,,,,,,,
Neslon Mandela Way Playing Fields,Playing fields,Greenwich,1.9755,Free,,,,,,,,,
Mottingham common,Nature reserve,Greenwich,7.6257,Free,,,,,,,,,
Ridgebrook Rd Green/Storkway Family Resources Centre,Amenity green space,Greenwich,0.9307,Free,,,,,,,,,
Nickleby Close green,Park,Greenwich,0.6268,Free,,,,,,,,,
Woolwich Poly playing fields,Playing fields,Greenwich,4.5737,Free,,,,,,,,,
Joan Crescent,Amenity green space,Greenwich,0.3344,Free,,,,,,,,,
Bournwood Road Strip,Park,Greenwich,0.1181,Free,,,,,,,,,
Kidbrook station scrub - west,Recreation ground,Greenwich,0.2242,Free,,,,,,,,,
Winchcombe Gardens green,Amenity green space,Greenwich,0.4568,Free,,,,,,,,,
Paston Crescent Green,Amenity green space,Greenwich,0.409,Free,,,,,,,,,
Plumstead Common Nature Reserve,Nature reserve,Greenwich,0.6249,Free,,,,,,,,,
